round_number,game_mode,is_rated,map_slug,is_team_duels,real_lat,real_lng,real_country,round_start,round_end,my_lat,my_lng,my_guessed_country,my_dist_m,my_dist_km,my_score,my_ttg_s,my_hp_before,my_hp_after,my_hp_delta,opp_lat,opp_lng,opp_guessed_country,opp_dist_m,opp_dist_km,opp_score,opp_ttg_s,opp_hp_before,opp_hp_after,opp_hp_delta,round_result,guessed_correctly,opp_correct,real_country_name,my_guessed_country_name,opp_guessed_country_name,region,dist_delta_km
8,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,65.78240899538719,-22.58511950788526,is,2026-01-25 15:31:42.979000+00:00,2026-01-25 15:32:09.017000+00:00,64.39979280920814,-19.247236396375484,is,219201.2701284347,219.2,4442.0,11.04,2511.0,1791.0,-720.0,64.79157037915877,-21.46531462971897,is,121850.9153143078,121.85,4682.0,13.76,3443.0,3443.0,0.0,L,True,True,Iceland,Iceland,Iceland,,97.35
9,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,-45.46838232696942,170.8278921708773,nz,2026-01-25 15:32:09.010000+00:00,2026-01-25 15:32:53.013000+00:00,-39.94031555680225,176.65011071864404,nz,776834.9086405687,776.83,3288.0,29.0,1791.0,1791.0,0.0,-39.429690463045965,176.9065723496158,nz,835886.5271770547,835.89,3185.0,37.27,3443.0,3083.0,-360.0,W,True,True,New Zealand,New Zealand,New Zealand,,-59.059999999999945
10,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,37.918725520635576,14.654721296674468,it,2026-01-25 15:32:58.538000+00:00,2026-01-25 15:33:29.247000+00:00,40.37121557725048,15.649551712904003,it,285874.9297101246,285.87,4285.0,15.71,1791.0,1791.0,0.0,45.39871129319653,10.316620665857943,it,906099.499429371,906.1,3067.0,29.22,3083.0,0.0,-3083.0,W,True,True,Italy,Italy,Italy,,-620.23
1,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,54.047969801838754,65.3218631456586,kz,2026-01-23 11:19:30.871000+00:00,2026-01-23 11:19:57.552000+00:00,53.19372524718233,69.50259818109926,kz,291579.8688945064,291.58,4272.0,11.68,6000.0,6000.0,0.0,50.486217510986485,71.36392466068102,kz,570508.5438361893,570.51,3675.0,15.62,6000.0,5403.0,-597.0,W,True,True,Kazakhstan,Kazakhstan,Kazakhstan,,-278.93
2,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,24.47815379737648,56.05416851305039,om,2026-01-23 11:19:58.718000+00:00,2026-01-23 11:20:35.268000+00:00,25.12609424578954,55.44820225835964,ae,94509.2413031926,94.51,4751.0,37.98,6000.0,6000.0,0.0,23.70882933037555,57.40236942038472,om,161387.8108687117,161.39,4583.0,21.55,5403.0,5235.0,-168.0,W,False,True,Oman,United Arab Emirates,Oman,,-66.87999999999998
3,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,58.4841587581077,24.81460891595924,ee,2026-01-23 11:20:48.869000+00:00,2026-01-23 11:21:16.027000+00:00,58.988127487796525,25.34151725863719,ee,63756.2337266216,63.76,4831.0,28.56,6000.0,5986.0,-14.0,58.66019286454935,25.76192387158609,ee,58308.1023705254,58.31,4845.0,12.16,5235.0,5235.0,0.0,L,True,True,Estonia,Estonia,Estonia,,5.449999999999996
4,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,23.185584959741966,121.02325581208903,tw,2026-01-23 11:21:29.605000+00:00,2026-01-23 11:22:17.503000+00:00,23.96882571970984,120.96743988752311,tw,87277.960668066,87.28,4770.0,32.9,5986.0,5986.0,0.0,23.98432091212009,120.92896873618312,tw,89333.605786243,89.33,4765.0,34.33,5235.0,5230.0,-5.0,W,True,True,"Taiwan, Province of China","Taiwan, Province of China","Taiwan, Province of China",,-2.049999999999997
1,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,-16.705369390732717,-68.18790719386975,bo,2026-01-23 11:11:07.454000+00:00,2026-01-23 11:11:49.473000+00:00,-9.055016677969808,-43.55462312713237,br,2799220.816444175,2799.22,1104.0,43.39,6000.0,3503.0,-2497.0,-12.925884296494178,-72.28368563927431,pe,608589.7887954009,608.59,3601.0,27.02,6000.0,6000.0,0.0,L,False,False,"Bolivia, Plurinational State of",Brazil,Peru,,2190.6299999999997
2,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,39.60855504568752,-2.2812470588909783,es,2026-01-23 11:12:03.036000+00:00,2026-01-23 11:12:31.483000+00:00,39.00384619669645,-5.810677350722004,es,311002.7297517402,311.0,4228.0,13.45,3503.0,2982.0,-521.0,39.97033846518622,-3.295139892124208,es,95513.4661159983,95.51,4749.0,29.82,6000.0,6000.0,0.0,L,True,True,Spain,Spain,Spain,,215.49
3,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,18.351825492378136,-64.75911564713,vi,2026-01-23 11:12:45.015000+00:00,2026-01-23 11:13:30.858000+00:00,-1.3219301439269997,-79.02086949070188,ec,2686867.757628563,2686.87,1173.0,47.23,2982.0,2982.0,0.0,13.461194167797698,144.78288127145038,gu,15218922.201261472,15218.92,1.0,30.84,6000.0,4828.0,-1172.0,W,False,False,"Virgin Islands, U.S.",Ecuador,Guam,,-12532.05
4,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,43.731848224710646,20.68261260862383,rs,2026-01-23 11:13:44.403000+00:00,2026-01-23 11:14:33.835000+00:00,48.41541611372532,31.2091428522154,ua,963362.9118888038,963.36,2973.0,50.84,2982.0,1358.0,-1624.0,44.66259248404904,22.14526983933419,ro,155903.7422928538,155.9,4597.0,34.43,4828.0,4828.0,0.0,L,False,False,Serbia,Ukraine,Romania,,807.46
5,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,19.613568490289527,-98.1178214086096,mx,2026-01-23 11:14:47.406000+00:00,2026-01-23 11:15:23.002000+00:00,18.26631452619939,-97.24904691778774,mx,175473.3403113644,175.47,4548.0,35.08,1358.0,977.0,-381.0,19.03214330789272,-97.75534503256988,mx,75009.802748437,75.01,4802.0,20.6,4828.0,4828.0,0.0,L,True,True,Mexico,Mexico,Mexico,South,100.46
6,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,50.00912665373711,8.260300393264302,de,2026-01-23 11:15:34.796000+00:00,2026-01-23 11:16:15.535000+00:00,51.53833677339371,12.074801132996985,de,317522.42264276,317.52,4213.0,25.74,977.0,521.0,-456.0,48.70392265858324,10.536955644159844,de,219645.8780962908,219.65,4441.0,42.11,4828.0,4828.0,0.0,L,True,True,Germany,Germany,Germany,,97.86999999999998
7,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,55.64276739454043,9.580517987678377,dk,2026-01-23 11:16:29.065000+00:00,2026-01-23 11:17:17.348000+00:00,52.43640210907992,16.427030721004,pl,571372.5928780988,571.37,3674.0,49.67,521.0,141.0,-380.0,53.96261814510362,16.7517614636761,pl,495845.8700724073,495.85,3826.0,33.28,4828.0,4828.0,0.0,L,False,False,Denmark,Poland,Poland,,75.51999999999998
8,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,19.46523661498882,-70.6521886941637,do,2026-01-23 11:17:30.905000+00:00,2026-01-23 11:17:58.951000+00:00,19.371031010316408,-99.11039117238732,mx,2980960.664076268,2980.96,1001.0,29.43,141.0,0.0,-141.0,14.631910879355903,-90.52859406995722,gt,2178637.0508416547,2178.64,1543.0,13.05,4828.0,4828.0,0.0,L,False,False,Dominican Republic,Mexico,Guatemala,,802.3200000000002
1,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,19.569919806402755,99.07864010844482,th,2026-01-23 11:04:33.561000+00:00,2026-01-23 11:05:05.530000+00:00,15.591390922059391,99.79696411575192,th,448893.8008808513,448.89,3925.0,19.31,6000.0,6000.0,0.0,14.539029311701292,101.49356366199004,th,615457.996041483,615.46,3587.0,16.97,6000.0,5662.0,-338.0,W,True,True,Thailand,Thailand,Thailand,,-166.57000000000005
