train_priority_rank,real_country_name,train_priority_score,train_bucket,rounds,avg_delta_km,accuracy_pct,avg_dist_km,rounds_imp,delta_imp,accuracy_imp,distance_imp
22,Cambodia,38.86,High,25,423.82439999999986,44.0,3730.7428000000004,9.248554913294797,57.889811042358,56.0,82.16881700569827
23,Canada,38.78,High,81,-538.7295061728395,53.086419753086425,1873.6245679012345,41.61849710982659,36.25704047530419,46.913580246913575,39.038745911614534
24,France,38.31,High,71,-307.4532857142857,70.4225352112676,812.2469014084506,35.83815028901734,41.45482252440312,29.5774647887324,14.389106797484114
25,Germany,38.17,High,54,38.32264150943397,79.62962962962963,367.8009259259259,26.011560693641616,49.22591072348615,20.370370370370367,4.067207960500838
26,Indonesia,37.35,High,99,-1043.741170212766,50.505050505050505,3120.5275757575755,52.02312138728323,24.90723306005061,49.494949494949495,67.99706124487908
27,Italy,37.33,High,67,-358.59000000000003,52.23880597014925,879.444328358209,33.52601156069364,40.305558259200296,47.76119402985075,15.949712768385183
28,Switzerland,36.94,High,23,428.68782608695653,47.82608695652174,711.5091304347826,8.092485549132949,57.999113368216584,52.17391304347826,12.049553424490917
29,Bulgaria,36.77,High,32,242.39125,50.0,954.826875,13.294797687861271,53.81221945809707,50.0,17.700411533664777
30,Belgium,36.28,High,22,370.93545454545455,40.909090909090914,874.3627272727273,7.514450867052023,56.7011665257088,59.090909090909086,15.831696687179136
31,Romania,36.06,High,46,-34.99891304347824,63.04347826086957,686.9523913043478,21.38728323699422,47.57805665828426,36.95652173913043,11.479242990707942
32,Norway,35.99,High,50,-143.1372,54.0,844.4725999999999,23.699421965317917,45.14771926497821,46.0,15.137522621144022
33,Sweden,35.93,High,48,-75.14291666666668,64.58333333333334,583.164375,22.54335260115607,46.67584638782127,35.41666666666666,9.0688501333498
34,Austria,35.48,Medium,28,244.1196428571429,57.14285714285714,593.9457142857143,10.982658959537572,53.85106395905282,42.85714285714286,9.319238031031894
35,Greece,35.26,Medium,45,-91.38711111111111,66.66666666666666,1205.0415555555555,20.809248554913296,46.31076872390062,33.33333333333334,23.51144541110863
36,Finland,34.29,Medium,35,-10.706285714285695,51.42857142857142,955.2122857142857,15.028901734104046,48.124017596277696,48.57142857142858,17.70936238623854
37,Argentina,33.82,Medium,100,-1340.5035,45.0,2553.606,52.601156069364166,18.237693461217145,55.0,54.83076550529052
38,Qatar,32.73,Medium,11,266.2227272727273,27.27272727272727,612.039090909091,1.1560693641618496,54.3478163496672,72.72727272727273,9.739442090531304
39,Ukraine,32.69,Medium,45,-364.11931818181824,37.77777777777778,1052.5353333333333,20.809248554913296,40.18129044328638,62.22222222222222,19.969611567120623
40,Puerto Rico,32.36,Medium,9,224.2922222222222,44.44444444444444,3030.5022222222224,0.0,53.405455626074236,55.55555555555556,65.90629511532481
